id,name,lat,lon,postal_code
26472667,Farmacia la Latina,40.4117047,-3.7079389,28005
26472668,Farmacia Estrella,40.3865761,-3.7522395,28047
26835663,Martinez Aguinaga,42.9068831,-2.0651701,31820
26835664,Pharmacy 26835664,42.9053781,-2.0652947,31820
41087673,Pharmacy 41087673,40.4754931,-3.7108592,28029
41160296,Pharmacy 41160296,40.4784303,-3.7126596,28029
41770687,Pharmacy 41770687,40.4779706,-3.6982537,28029
41770693,Pharmacy 41770693,40.4723365,-3.7106687,28029
41770698,Pharmacy 41770698,40.476349,-3.7089677,28029
55161466,Pharmacy 55161466,40.4773454,-3.7039056,28029
55161475,Pharmacy 55161475,40.4764767,-3.7120611,28029
57672041,Pérez-Ezquerra,41.6442586,-0.917682,50012
82753755,"Farmàcia Mauri Martínez, Emília",41.4025115,2.1585725,08012
82781675,"Farmàcia Valentines Nart, T - Gelabert Valentines",41.4031147,2.157597,08012
82781676,Farmàcia del diamant,41.4039465,2.1553363,08012
88144037,Farmacia Santamaría,37.1946846,-3.6228425,18014
106914705,Farmacia Vidal Simeón,39.4543131,-0.3766905,46006
107394279,Pharmacy 107394279,39.4534251,-0.371659,46013
120229071,Lekunberri,43.1835933,-2.4765868,20600
120229089,Elena Iraundegui,43.1847742,-2.4717863,20600
141285407,Lda. Marta Pérez Álvarez,40.4719534,-3.690935,28029
143097983,Pharmacy 143097983,40.4844235,-3.6875356,28034
143097993,Pharmacy 143097993,40.4858413,-3.6905678,28034
147342184,Cristina Noval Menéndez,43.5386402,-5.6856034,33212
150760852,Pharmacy 150760852,40.4466867,-3.7144127,28040
150760885,Pharmacy 150760885,40.4480906,-3.7156961,28040
151405067,Pharmacy 151405067,40.477954,-3.6988043,28029
151407804,Pharmacy 151407804,40.4759151,-3.6994592,28029
161522680,Pharmacy 161522680,40.4766852,-3.7059758,28029
167302062,Lda. María Carmen Lejeune Dopico,40.4117497,-3.6956831,28014
178820962,Pharmacy 178820962,40.4154788,-3.709488,28005
178821210,Pharmacy 178821210,40.4162754,-3.7062395,28013
184049274,Farmacia 24 horas,40.418129,-3.7046339,28013
192325938,"Farmàcia Bombardo Vial, Miquel",41.3764247,2.1715874,08001
194150642,Farmacia Hormilleja Godino,36.5923361,-4.5269924,29631
194526301,"Farmàcia Nieto Calm, Maria Dolors",41.3782412,2.1732928,08001
194528211,"Farmàcia Clapés Antoja, Josep",41.3822988,2.1725153,08002
194528925,"Farmàcia Vives Sánchez, Adela",41.3753821,2.1671991,08015
196333977,"Farmàcia Genis de Arana, Ignasi",41.3774283,2.1674957,08001
211369655,Pharmacy 211369655,38.3672123,-0.4285691,03540
215746882,Farmàcia La Pava,41.2691059,2.0013869,08850
235272818,Farmacia Verrire,43.3831171,-3.7381243,39710
